"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM_REDE_SOCIAL";"DS_URL"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002178085;2;"https://www.facebook.com/rosinha.ferreira.9210?mibextid=ZbWKwL"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002117341;1;"https://www.instagram.com/luandasaude"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002104324;5;"https://x.com/drtales_?s=11"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001910417;1;"https://www.instagram.com/adriellyantas?igsh=MXNpMjdoaWRiNWc1MQ=="
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001900032;2;"https://www.instagram.com/onildolindberg?igsh=Mzhvc3Z5eDY3eWE1"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001894231;2;"https://www.facebook.com/josefajanaina"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001999658;1;"https://www.instagram.com/alexandreinocencios?igsh=Z3RwZW0zaTcwaWZn"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002039174;1;"https://facebook.com/Daniel Brito"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001984842;1;"https://www.instagram.com/jessicahandradee/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001981606;1;"https://instagram.com/thaisivana2"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002006598;1;"https://www.instagram.com/lelapereira__?igsh=MWlmcGdjcHo3eWdvNQ=="
